time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
2.316,849,841,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,6.682,-2.000,4.152,20.5,-257.3,0.0,0,23226.2074,-1.0000
2.333,851,858,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,6.705,-2.000,4.166,21.4,-268.4,0.0,0,29737.7346,-1.0000
2.349,854,862,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,6.728,-2.000,4.181,21.8,-274.5,0.0,0,30628.8952,-1.0000
2.366,853,805,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,6.750,-2.000,4.194,20.7,-259.5,0.0,0,24686.9686,-1.0000
2.383,848,827,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.770,-2.000,4.207,19.4,-241.3,0.0,0,-2560.7944,-1.0000
2.399,847,856,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,6.792,-2.000,4.220,20.4,-255.5,0.0,0,30461.4784,-1.0000
2.416,851,889,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,6.815,-2.000,4.235,21.7,-272.8,0.0,0,-6937.0396,-1.0000
2.433,858,911,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,6.840,-2.000,4.250,23.1,-292.5,0.0,0,50148.8980,-1.0000
2.449,868,939,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,6.866,-2.000,4.266,24.4,-312.0,0.0,0,37124.8570,-1.0000
2.466,881,965,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,6.895,-2.000,4.284,26.1,-339.5,0.0,0,42233.6359,-1.0000
2.483,895,977,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.925,-2.000,4.303,27.4,-361.2,0.0,0,42627.9691,-1.0000
2.499,905,923,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.955,-2.000,4.321,26.8,-349.6,0.0,0,37928.4894,-1.0000
2.516,911,946,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.982,-2.000,4.338,25.5,-326.6,0.0,0,3103.7233,-1.0000
2.533,920,978,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.012,-2.000,4.357,27.1,-353.9,0.0,0,28513.2560,-1.0000
2.549,933,1016,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.045,-2.000,4.377,29.0,-385.3,0.0,0,38127.5551,-1.0000
2.566,948,1048,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.079,-2.000,4.399,30.6,-411.9,0.0,0,57221.6511,-1.0000
2.583,966,1081,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.117,-2.000,4.422,32.4,-441.9,0.0,0,64440.8076,-1.0000
2.599,984,1093,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.156,-2.000,4.447,33.9,-467.0,0.0,0,54420.7200,-1.0000
2.616,998,1036,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.195,-2.000,4.471,33.4,-456.5,0.0,0,44222.2678,-1.0000
2.633,1006,1052,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.230,-2.000,4.493,31.5,-423.0,0.0,0,6523.1374,-1.0000
2.649,1016,1084,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.268,-2.000,4.516,33.0,-446.4,0.0,0,29626.4288,-1.0000
2.666,1028,1112,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.308,-2.000,4.541,34.6,-474.2,0.0,0,67909.2890,-1.0000
2.683,1042,1127,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,7.350,-2.000,4.567,35.8,-493.8,0.0,0,51380.6499,-1.0000
2.699,1056,1139,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,7.393,-2.000,4.594,37.1,-515.4,0.0,0,49215.0104,-1.0000
2.716,1070,1146,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,7.438,-2.000,4.622,37.9,-527.9,0.0,0,66380.9206,-1.0000
2.733,1076,1106,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,7.479,-2.000,4.647,35.4,-482.0,0.0,0,17946.8188,-1.0000
