timestamp_utc_ms,throttle_pct,speed_kmh,acceleration_g,brake_pct,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,gear_selector,motor_torque_nm
1781472547147,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547147,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547150,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547153,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547156,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547158,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547158,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547161,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547164,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547167,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547167,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547169,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547173,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547175,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547178,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547180,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547183,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547186,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547186,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547189,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547191,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547194,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547197,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547200,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547200,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547203,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547203,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547205,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547208,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547211,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547214,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547214,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547216,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547219,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547219,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547222,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547225,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547227,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547230,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547230,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547233,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547236,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547238,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547241,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547244,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547244,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547247,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547249,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547252,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547255,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547258,13.20,61.28,,2.00,4.60,,,,4097,-260.00
